SKU,Nombre,Descripción,Código de barras,Código de fábrica,Talla,Color,Medida de la Rueda,Tipo de Bici,Forma del Cuadro,SKU Variante,Código barras Variante,cat - Cycplus,cat - DARE,cat - Conway,Coste (Subtotal),Precio compra (Subtotal),Precio venta (Subtotal),Impuesto de venta,Impuesto de compras,Stock,Peso,Fecha de inicio dd/mm/yyyy,Tags separados por -,Proveedor (Código),Cuenta ventas,Cuenta compras,Almacén
2879300,Cairon 529 SE,"Tipo: Rígida
Tamaño de rueda: 29""

• Horquilla: ROCKSHOX ""Recon RL"", 120 mm
• Bielas: FSA ""E-Bicicleta de Montaña Bosch"", 38 Z.
• Eje pedalier: BOSCH
• Frenos: SHIMANO ""MT-200"", 180/180 mm
• Manetas de freno: SHIMANO ""BL-MT200""
• Mandos cambio: SHIMANO ""SLX SL-M7000""
• Cambio trasero: SHIMANO ""Deore XT RD-M8000 Shadow Plus"", 11-fach
• Cassette: SHIMANO ""CS-M7000"", 11-46 Z.
• Motor: BOSCH Mittelmotor Gen.4 ""Performance CX"", 36 V, 250 W
• Batería: BOSCH ""Powertube 625"", Lithium-Ionen mit BMS, 625 Wh
• Display: BOSCH ""Purion"" 4-Stufen, Schiebehilfe
• Sensores: Tretkraftmessung im Motor + Geschwindigkeitssensor
• Llantas: CONWAY Hohlkammer ""X18"", Disc
• Radios: Niro
• Buje delantero: SHIMANO ""HB-MT400"", 15x110mm
• Buje trasero: SHIMANO ""FH-MT400B"", 12x148 mm
• Neumáticos: CONTINENTAL ""Cross-King"", 58-622
• Manillar: CONWAY Riser, Ã˜ 31,8, 720 mm
• Puños: CONWAY ""Sport fix""
• Sillín: CONWAY ""3378"" Comfort",,2879300,S,Negro Mate,29,MTB,Rígida,2879351,4251507925198,,,Mecánica,1838.95,1838.95,2999.95,21.0,21.0,0,,10/07/2025,,67a5b434b4aa620153059995,700000000,600000000,
2879300,Cairon 529 SE,"Tipo: Rígida
Tamaño de rueda: 29""

• Horquilla: ROCKSHOX ""Recon RL"", 120 mm
• Bielas: FSA ""E-Bicicleta de Montaña Bosch"", 38 Z.
• Eje pedalier: BOSCH
• Frenos: SHIMANO ""MT-200"", 180/180 mm
• Manetas de freno: SHIMANO ""BL-MT200""
• Mandos cambio: SHIMANO ""SLX SL-M7000""
• Cambio trasero: SHIMANO ""Deore XT RD-M8000 Shadow Plus"", 11-fach
• Cassette: SHIMANO ""CS-M7000"", 11-46 Z.
• Motor: BOSCH Mittelmotor Gen.4 ""Performance CX"", 36 V, 250 W
• Batería: BOSCH ""Powertube 625"", Lithium-Ionen mit BMS, 625 Wh
• Display: BOSCH ""Purion"" 4-Stufen, Schiebehilfe
• Sensores: Tretkraftmessung im Motor + Geschwindigkeitssensor
• Llantas: CONWAY Hohlkammer ""X18"", Disc
• Radios: Niro
• Buje delantero: SHIMANO ""HB-MT400"", 15x110mm
• Buje trasero: SHIMANO ""FH-MT400B"", 12x148 mm
• Neumáticos: CONTINENTAL ""Cross-King"", 58-622
• Manillar: CONWAY Riser, Ã˜ 31,8, 720 mm
• Puños: CONWAY ""Sport fix""
• Sillín: CONWAY ""3378"" Comfort",,2879300,M,Negro Mate,29,MTB,Rígida,2879369,4251507925204,,,Mecánica,1838.95,1838.95,2999.95,21.0,21.0,0,,10/07/2025,,67a5b434b4aa620153059995,700000000,600000000,
2879300,Cairon 529 SE,"Tipo: Rígida
Tamaño de rueda: 29""

• Horquilla: ROCKSHOX ""Recon RL"", 120 mm
• Bielas: FSA ""E-Bicicleta de Montaña Bosch"", 38 Z.
• Eje pedalier: BOSCH
• Frenos: SHIMANO ""MT-200"", 180/180 mm
• Manetas de freno: SHIMANO ""BL-MT200""
• Mandos cambio: SHIMANO ""SLX SL-M7000""
• Cambio trasero: SHIMANO ""Deore XT RD-M8000 Shadow Plus"", 11-fach
• Cassette: SHIMANO ""CS-M7000"", 11-46 Z.
• Motor: BOSCH Mittelmotor Gen.4 ""Performance CX"", 36 V, 250 W
• Batería: BOSCH ""Powertube 625"", Lithium-Ionen mit BMS, 625 Wh
• Display: BOSCH ""Purion"" 4-Stufen, Schiebehilfe
• Sensores: Tretkraftmessung im Motor + Geschwindigkeitssensor
• Llantas: CONWAY Hohlkammer ""X18"", Disc
• Radios: Niro
• Buje delantero: SHIMANO ""HB-MT400"", 15x110mm
• Buje trasero: SHIMANO ""FH-MT400B"", 12x148 mm
• Neumáticos: CONTINENTAL ""Cross-King"", 58-622
• Manillar: CONWAY Riser, Ã˜ 31,8, 720 mm
• Puños: CONWAY ""Sport fix""
• Sillín: CONWAY ""3378"" Comfort",,2879300,L,Negro Mate,29,MTB,Rígida,2879377,4251507925211,,,Mecánica,1838.95,1838.95,2999.95,21.0,21.0,0,,10/07/2025,,67a5b434b4aa620153059995,700000000,600000000,
2879300,Cairon 529 SE,"Tipo: Rígida
Tamaño de rueda: 29""

• Horquilla: ROCKSHOX ""Recon RL"", 120 mm
• Bielas: FSA ""E-Bicicleta de Montaña Bosch"", 38 Z.
• Eje pedalier: BOSCH
• Frenos: SHIMANO ""MT-200"", 180/180 mm
• Manetas de freno: SHIMANO ""BL-MT200""
• Mandos cambio: SHIMANO ""SLX SL-M7000""
• Cambio trasero: SHIMANO ""Deore XT RD-M8000 Shadow Plus"", 11-fach
• Cassette: SHIMANO ""CS-M7000"", 11-46 Z.
• Motor: BOSCH Mittelmotor Gen.4 ""Performance CX"", 36 V, 250 W
• Batería: BOSCH ""Powertube 625"", Lithium-Ionen mit BMS, 625 Wh
• Display: BOSCH ""Purion"" 4-Stufen, Schiebehilfe
• Sensores: Tretkraftmessung im Motor + Geschwindigkeitssensor
• Llantas: CONWAY Hohlkammer ""X18"", Disc
• Radios: Niro
• Buje delantero: SHIMANO ""HB-MT400"", 15x110mm
• Buje trasero: SHIMANO ""FH-MT400B"", 12x148 mm
• Neumáticos: CONTINENTAL ""Cross-King"", 58-622
• Manillar: CONWAY Riser, Ã˜ 31,8, 720 mm
• Puños: CONWAY ""Sport fix""
• Sillín: CONWAY ""3378"" Comfort",,2879300,XL,Negro Mate,29,MTB,Rígida,2879385,4251507925228,,,Mecánica,1838.95,1838.95,2999.95,21.0,21.0,0,,10/07/2025,,67a5b434b4aa620153059995,700000000,600000000,
